Year,Title,Duration,URL,Description
2015,Chinese Lacquer,"August 15, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/chinese-lacquer,"Lacquer, the resin of a family of trees found throughout southern China—as well as in Southeast Asia, Korea, and Japan—is an amazing material. When exposed to oxygen and humidity, lacquer hardens or polymerizes, becoming a natural plastic and an ideal protective covering for screens, trays, and other implements. Mixed with pigments, particularly cinnabar (red) and carbon (black), lacquer has been also used as an artistic media for millennia. This installation, which features all of the most important examples of Chinese lacquer in the Museum's collection, explores the laborious techniques used to create scenes based on history and literature, images of popular gods and mythical and real animals, and representations of landscapes and flowers and birds. #ChineseLacquer #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund."
2015,A Passion for Jade,"March 14, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/passion-for-jade,"Heber R. Bishop's collection of carved jades was formed in the last quarter of the nineteenth century and bequeathed to the Metropolitan Museum in 1902. Consisting of over one thousand pieces—primarily Chinese jades of the eighteenth and nineteenth centuries, as well as jades from Mughal India—it was the first major collection of its kind in the country. This exhibition features a selection of the finest examples from this renowned collection and celebrates the hundredth anniversary of the Department of Asian Art. #BishopJades #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund."
2015,Chinese Textiles,"August 15, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/chinese-textiles,"This installation, which explores the cultural importance of silk in China, showcases the most important and unusual textiles from the Museum's collection. In addition to three rare pieces dating from the Tang dynasty (618–906), when China served as a cultural hub linking Korea and Japan to Central and West Asia, and ultimately to the Mediterranean world, the exhibition also includes eleventh- and twelfth-century tapestries from Central Asia, as well as contemporaneous Chinese examples of this technique. Spectacular embroideries—including an imperial fourteenth-century canopy decorated with phoenixes and flowers, and a monumental late seventeenth- or early eighteenth-century panel showing phoenixes in a garden—are also on view, together with theatrical garments, court costumes, and early examples of badges worn at court to designate rank. #ChineseTextiles #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund."
2015,Selections from the Collection of Jefferson R. Burdick,"October 21, 2015–June 9, 2016",https://www.metmuseum.org/exhibitions/listings/2015/burdick-collection-october-rotation,"The Burdick baseball card collection constitutes an integral part of The Metropolitan Museum of Art's collection of ephemera and tells the history of popular printmaking in the United States. In 1947, after having approached A. Hyatt Mayor, the Museum's curator of prints and photographs, the Syracuse electrician Jefferson R. Burdick (1900–1963) began to donate his entire collection of approximately 30,000 baseball cards in large batches, along with another 270,000 trade and postcards, to the Museum. The baseball cards collected by Burdick date from 1887 to 1959 and represent the most comprehensive collection outside of the Baseball Hall of Fame in Cooperstown, New York. The cards on view illustrate the history of baseball from the dead-ball era at the turn of the nineteenth century through the golden age and modern era of the sport. The baseball cards document the sport through various types of media—from lithography to photography—and imagery illustrating legends as well as the lesser-known players, owners, and teams that have contributed to the history of the game."
2015,Artistic Furniture of the Gilded Age,"December 15, 2015–June 5, 2016",https://www.metmuseum.org/exhibitions/listings/2015/artistic-furniture-of-the-gilded-age,"This exhibition reveals the most sumptuous moment in late nineteenth-century America—a period known as the Gilded Age—through the work of some of the most noted design firms at the time. The centerpiece of the three-part exhibition is the opulent Worsham-Rockefeller Dressing Room from the New York City house commissioned by art collector and philanthropist Arabella Worsham (later Huntington; ca. 1850–1924). A complete work of art, with its elaborate woodwork and decorations, it is a rare surviving commission by the New York–based cabinetmaker and interior decorator George A. Schastey (American, 1839–1894). Although little known today, Schastey operated a large and successful decorating firm in the late nineteenth century, catering to some of the nation's wealthiest individuals. Loans from public and private collections will highlight his work and important role; some of these works are newly attributed to him and have never before been on public view. The exhibition will also include furniture by some of Schastey's contemporaries. An adjoining gallery will display works by Schastey's best-known competitor, Herter Brothers, that were created for the firm's most important commission, the William H. Vanderbilt House. In total, the exhibition will include more than three dozen examples of furniture from America's Gilded Age. Visitors will gain new insights into the luxurious and artistic interiors found in New York's wealthiest households in the late nineteenth century. #GildedAgeFurniture Accompanied by a Bulletin Featured Media ""Opulent.""— Wall Street Journal Artistic Furniture of the Gilded Age: George A. Schastey is made possible by the Enterprise Holdings Endowment and The Peter Jay Sharp Foundation. Additional support is provided by Karen H. Bechtel. The Metropolitan Museum of Art Winter 2016 Bulletin is made possible by the William Cullen Bryant Fellows. The Museum's quarterly Bulletin program is supported in part by the Lila Acheson Wallace Fund for The Metropolitan Museum of Art, established by the cofounder of Reader's Digest ."
2015,Encountering Vishnu,"December 19, 2015–June 5, 2016",https://www.metmuseum.org/exhibitions/listings/2015/encountering-vishnu,"Dramas presented during religious festivals in southern India are an important aspect of popular Hindu celebration. This exhibition highlights five rare wooden sculptural masks that represent a largely unrecorded category of late medieval Indian devotional art. The masks depict the protagonists in a deadly battle between Vishnu in his man-lion avatar, Narasimha, and an evil king whose destruction was essential for the restoration of order in the universe. #VishnuAvatars #AsianArt100 Featured Media The exhibition is made possible by The Miriam and Ira D. Wallach Foundation Fund."
2015,The Luxury of Time,"November 16, 2015–March 27, 2016",https://www.metmuseum.org/exhibitions/listings/2015/luxury-of-time,"Time is all around us, displayed on our phones and computers. Today, almost nobody needs to own a watch or a clock to tell the time. Access to the right time is not the luxury it once was. Yet the fascination with clocks and watches persists, and the thriving market for mechanical timekeepers is deeply aware of their history. Clocks and watches have always been about more than just telling time: they have been treasured as objects of desire and wonder, personal items imbued with value that goes beyond pure functionality. As works of art, they represent the marriage of innovation and craftsmanship. This exhibition explores the relationship between the artistry of the exterior form of European timekeepers and the brilliantly conceived technology that they contain. Drawn from the Museum's distinguished collection of German, French, English, and Swiss horology from the sixteenth through the nineteenth century, the extraordinary objects on view show how clocks and watches were made into lavish furniture or exquisite jewelry. The creation of timekeepers required that clockmakers work with cabinetmakers, goldsmiths and silversmiths, enamelers, chasers and gilders, engravers, and even those working in sculpture and porcelain. These craftsmen were tasked with accommodating internal mechanisms by producing cases that, in both shape and function, adapted to timekeeping technologies. Their exteriors are often as complicated as the movements they house. Examining the dialogue between inside and out, adornment and ingenuity, The Luxury of Time reveals the complex evolution of European clockmaking and the central place of timekeepers in the history of decorative arts. #LuxuryofTime Featured Media Pair-Case Watch by Daniel Delander Sunday at The MetâMaking Time: Clocks and Watches The publication is made possible by Marica and Jan Vilcek."
2015,Korea,"February 7, 2015–March 27, 2016",https://www.metmuseum.org/exhibitions/listings/2015/korea,"When the Department of Far Eastern Art was established at the Metropolitan in the summer of 1915, the Museum possessed only sixty-five Korean works. Some were mistakenly catalogued as Chinese or Japanese. Dubbed the ""hermit kingdom,"" Korea was then little known to the Western world. Today, its traditional arts, as well as pop music, film, and drama, are celebrated markers of global culture. The Museum's collection of Korean art, too, has been significantly transformed and continues to evolve. It now encompasses ceramics, paintings, sculpture, metalwork, lacquer ware, and textiles from the late Bronze Age to the present. Works on view include important recent gifts to the Museum from the Mary Griggs Burke Collection and Florence and Irving Collection—including a rare sixteenth-century Buddhist painting of royal commission, a striking mid-seventeenth-century gilt-wood statue of a Bodhisattva, and exquisite mother-of-pearl inlaid lacquer boxes from the Joseon dynasty (1392–1910). The stories behind the objects in this exhibition capture the individuals and trends that shaped the Met's distinctive collection, sometimes deliberately, sometimes accidentally. This presentation also reveals the modern Western imagination of Korea, and the many ways Korean art came to be viewed and appreciated in America. #MetKoreanArt #AsianArt100 The exhibition is made possible by Samsung."
2015,Reconstructions,"September 21, 2015–March 14, 2016",https://www.metmuseum.org/exhibitions/listings/2015/reconstructions,"This installation, the thirteenth since the Joyce and Robert Menschel Hall for Modern Photography opened in 2007, is a snapshot—not comprehensive, but representative—of the collecting interests of the Department of Photographs through recently acquired works made by fifteen artists over the last seven years. While the title is taken from a photograph in the exhibition, the concept of reconstruction chimes with many of the works, which can be viewed, at least in part, as indirect addresses to how perception and cognition are being remapped to accommodate our newly bifurcated existences—online and ""in real life."" The notion that we swim in a sea of photographic images that shape how we see ourselves and the world felt new in 1989 and prescient in 1968, but with the rise of the Internet and social media, this condition is so obvious as to be useless. With one foot in cyberspace and the other on an unstable terrain of accelerated change, our daily life and deepest subjective recesses—our relationship to ourselves, each other, and to things—is constantly being reconstructed along digital lines, with cameras serving as almost bodily appendages to interface between these two realities. In this context, the seamless digital ""restoration"" of dazzle camouflage to a WWII battleship, the viral spread of Photoshop mishaps in an interior view, or the simple folding back of a book page can be seen as complex negotiations between the old order and the new networks that silently and invisibly are shaping individual and collective experience. #MetReconstructions"
2015,The Aftermath of Conflict,"August 24, 2015–March 6, 2016",https://www.metmuseum.org/exhibitions/listings/2015/jo-ractliffe,"Throughout her career, South African photographer Jo Ractliffe (born 1961) has directed her camera toward landscapes to address themes of displacement, conflict, history, memory, and erasure. This exhibition brings together selected works from three of her recent photographic series that focus on the aftermath of the Angolan Civil War (1975–2002) and its relationship with the Border War (1966–89) fought by South Africans in Angola and present-day Namibia. For Ractliffe and many other South African civilians, Angola during these wars was an abstract place, a ""secret, unspoken location where brothers and boyfriends were sent as part of their military service."" When seen consecutively, these three series reveal Ractliffe's deepening engagement with the region's complex histories as an attempt to ""retrieve a place for memory."" The earliest series, Terreno Ocupado (2007–8), was produced during Ractliffe's first visit to Angola's capital, Luanda, five years after the end of the Civil War. These images highlight the structural instability of the capital's shantytowns and question what it means for land to be occupied, abandoned, and struggled over. While working on As Terras do Fim do Mundo (2009–10), Ractliffe traveled alongside ex-soldiers returning to the desolate places in the Angolan countryside where they had fought. The Borderlands (2011–13) examines the impact of the wars in Angola within South Africa's borders. For this most recent project, she photographed militarized landscapes that had been occupied by the South African army, tracing histories of displacement that began during the colonial and apartheid periods and continue to unfold today. The photographs in all three series were originally produced as either gelatin silver prints or archival pigment prints on cotton paper; the inkjet prints on display here were made by the artist specially for this exhibition. This exhibition has been organized to coincide with Kongo: Power and Majesty , which focuses on works created by artists in present-day Angola between the sixteenth and nineteenth centuries. #JoRactliffe"
2015,Jacqueline de Ribes,"November 19, 2015–February 21, 2016",https://www.metmuseum.org/exhibitions/listings/2015/jacqueline-de-ribes,"This Costume Institute exhibition focuses on the internationally renowned style icon Countess Jacqueline de Ribes, whose originality and elegance established her as one of the most celebrated fashion personas of the twentieth century. The thematic show features about sixty ensembles of haute couture and ready-to-wear primarily from de Ribes's personal archive, dating from 1962 to the present. Also included are her creations for fancy-dress balls, which she often made by cutting and cannibalizing her haute couture gowns to create nuanced expressions of her aesthetic. These, along with photographs, video, and ephemera, tell the story of how her interest in fashion developed over decades, from childhood ""dress-up"" to the epitome of international style. A muse to haute couture designers, de Ribes had at her disposal their drapers, cutters, and fitters in acknowledgment of their esteem for her taste and originality. Ultimately, she used this talent and experience to create her own successful design business, which she directed from 1982 to 1995. While the exhibition focuses on her taste and style, extensive documentation from her personal archives illustrates the range of her professional life, including her roles as theatrical impresario, television producer, interior designer, and director and organizer of international charity events. #JacquelinedeRibes Featured Media The Designer at Work ""…an eye-opening, perception-changing display of jaw-dropping couture gowns.""— InStyle ""…like walking into a fairy tale…the beauty and exquisite craftsmanship…provide visitors…transportation to a fantasy realm.""— Racked ""…more than just…pretty swaths of fabrics. [Koda] infuses them with humanity, allowing the clothes to tell a story beyond structure and design.""— New York Observer"
2015,Celebrating Sax,"November 6, 2014–February 21, 2016",https://www.metmuseum.org/exhibitions/listings/2014/celebrating-sax,"This special display of instruments made by three generations of the Sax family marks the bicentenary of the birth of Adolphe Sax. Rare saxophones, brass instruments, and an exquisite ivory clarinet are among the twenty-six instruments selected to showcase the inventions and innovations of this important family. There are few instrument makers who have become a household name. The eponymous instruments of Adolphe Sax have had a wide-reaching impact on music and society. Patented in 1846 and conceived as a military band and orchestral instrument, the saxophone is now integral to many different types of music around the world. Through jazz and pop, it achieved the type of universal popularity matched by few other instruments. During Sax's life, military and band music were transformed by saxhorns, his innovative family of brass instruments. The saxhorn fueled the brass band movement, which opened up music making to the working classes. Modern day euphoniums, tenor horns, and baritones are all descendants of the saxhorn family. The bicentenary of Adolphe Sax's birth also marks the 125th anniversary of the gift of over 3,600 instruments to the Met by the pioneering collector Mary Elizabeth Adams Brown. Sax was also an avid collector, active during a formative period of musical instrument scholarship. Many important instrument collections were established during his lifetime, including the one at the Metropolitan Museum. Sax and Brown circulated in the same international community of scholars and collectors, and instruments made by the Sax family featured prominently in Brown's collection as examples of cutting-edge instrument design. They continue to inspire performers, composers, and instrument makers."
2015,"American and European Embroidered Samplers, 1600–1900","November 16, 2015–February 15, 2016",https://www.metmuseum.org/exhibitions/listings/2015/american-and-european-embroidered-samplers,"The embroidered samplers in this installation were chosen for their practical character: each displays skills and knowledge acquired during the educational process and preserves this expertise for future reference. While these are notably functional samplers, even with more decorative examples, the maker's skill and creativity were tempered by her adherence to traditional patterns, passed down over the years by means of earlier samplers, patterns books, or instructional manuals. Samplers were made as part of a young woman's education, either at a formal school or under informal tutelage at home. Through most of the eighteenth century, in both Europe and America, most girls were expected to learn only practical skills—basic reading, writing, and sums, along with sewing and cooking—to prepare them for their roles as wives, mothers, and homemakers. The Museum has more than eight hundred samplers from Europe and North America. The survival of so many of these embroideries indicates a continuing appreciation for the skill they demonstrate, for their charming variations on a theme, and, perhaps most of all, for the names of the makers, which were proudly added to many of these pieces when their work was done. For many, these samplers are the only remaining trace of the lives they lived. This installation is designed to complement Fashion and Virtue: Textile Patterns and the Print Revolution, 1520–1620 , on view October 20, 2015–January 10, 2016."
2015,Girolamo dai Libri and Veronese Art of the Sixteenth Century,"November 16, 2015–February 7, 2016",https://www.metmuseum.org/exhibitions/listings/2015/girolamo-dai-libri,"Girolamo dai Libri (Italian, 1474–1555) was the leading artist in the northern Italian city of Verona during the early sixteenth century, producing altarpieces and illuminated manuscripts for numerous churches in and around the city. Verona's location at a significant crossroads between northern Italy and northern Europe encouraged Girolamo dai Libri and the members of the vibrant Veronese school to synthesize various influences, fusing the sculptural, classicizing style of nearby Padua, the luminous sensibility of Venetian painting, and the meticulous attention to naturalistic detail inspired by northern European artists. The focal point of this installation, comprised of works from the Museum's collection, is Girolamo's majestic altarpiece of the Madonna and Child with saints, on loan to the Robert Lehman Collection from the Department of European Paintings. Highlighting Girolamo's dual activities as a painter and illuminator, this altarpiece will be shown alongside manuscripts by Girolamo and his Veronese contemporaries, as well as drawings by this circle of artists."
2015,Ancient Egypt Transformed,"October 12, 2015–January 24, 2016",https://www.metmuseum.org/exhibitions/listings/2015/ancient-egypt-transformed,"The reunification of ancient Egypt achieved by Nebhepetre Mentuhotep II—the first pharaoh of the Middle Kingdom—was followed by a great cultural flowering that lasted nearly four hundred years. During the Middle Kingdom (mid-Dynasty 11–Dynasty 13, around 2030–1650 B.C.), artistic, cultural, religious, and political traditions first conceived and instituted during the Old Kingdom were revived and reimagined. This transformational era is represented through 230 objects and groups in this major international exhibition. Fashioned with great subtlety and sensitivity, and ranging in size from monumental stone sculptures to delicate examples of jewelry, the works of art are drawn from the preeminent collection of the Metropolitan—which is particularly rich in Middle Kingdom material—and thirty-seven lenders in North America and Europe. This is the first comprehensive presentation of Middle Kingdom art and culture, featuring many objects that have never before been shown in the United States. #MiddleKingdomEgypt Featured Media SymposiumâMiddle Kingdom Egypt: New Discoveries, Morning Session SymposiumâMiddle Kingdom Egypt: New Discoveries, Afternoon Session The exhibition is made possible by Dorothy and Lewis B. Cullman. Additional support is provided by The Andrew W. Mellon Foundation, Diane Carol Brandt, and The Daniel P. Davison Fund. It is supported by an indemnity from the Federal Council on the Arts and the Humanities. The catalogue is made possible by The Andrew W. Mellon Foundation."
2015,Grand Illusions,"August 10, 2015–January 18, 2016",https://www.metmuseum.org/exhibitions/listings/2015/grand-illusions,"Photographers, like ventriloquists, can cast ""voices"" in a seemingly infinite number of genres and period styles. This does not negate the camera's direct relationship to the world—tying image to subject as naturally as a footprint—but instead reveals that photographs are always admixtures of fiction and reality tilted toward one end of the scale or the other. This survey of the ways in which photographers invent their images is not definitive or complete, but instead suggests the varieties of experience available to photography when the imaginary is pictured as if it were real. The selection also points toward photography's inherently promiscuous relationship with other mediums such as literature and film, not to mention its persuasive powers when used in advertising. The artists of our era, raised on the fictions of postwar consumer culture, use the assumed truthfulness of photography against itself to question how we think we know the world, the past, and ourselves. Leaving off at the end of the analog era, this survey brings the viewer to the precipice of a brave new world of digital manipulation that is bound to become ever more seamless to the naked eye."
2015,"Pattern, Color, Light","July 20, 2015–January 10, 2016",https://www.metmuseum.org/exhibitions/listings/2015/pattern-color-light,"This exhibition features examples of architectural ornament from Egypt, Iraq, Syria, and Turkey that were found at sites ranging in date from approximately 500 to 1000. Few buildings from this period survive fully intact, but the pieces of walls, ceilings, and floors that remain shed light on the ingenious ways that artisans created sumptuous interiors and stately facades. Far from being mere embellishment, the decorative programs to which these pieces belonged were pivotal in creating memorable experiences for viewers, whether conveying the power of a patron or the depth of a religious concept. The presentation includes objects from the departments of Islamic Art , Ancient Near Eastern Art , and Medieval Art and The Cloisters , highlighting interconnections between works that are traditionally displayed apart. While the Near East witnessed significant social and political changes during the period from 500 to 1000, including the rise of Islam and the collapse of the Sasanian Empire, the objects on display attest to the persistence of certain artistic ideas across religious and political boundaries. These include the use of an established repertoire of vegetal and geometric patterns to enliven walls, the application of vibrant color schemes to architectural surfaces through polychrome painting and dyed textiles, and a fascination with bright, jewel-like materials such as polished marble and glass mosaic. These enduring aesthetic concepts, which informed architectural style for more than half a millennium, are explored further through the lens of the exhibition's three themes: pattern, color, and light. The exhibition is made possible by The Hagop Kevorkian Fund."
2015,Andrea del Sarto'sBorgherini Holy Family,"October 14, 2015–January 10, 2016",https://www.metmuseum.org/exhibitions/listings/2015/andrea-del-sarto-borgherini,"This focused exhibition presents new findings on the Metropolitan Museum's Holy Family with the Young Saint John the Baptist , one of the Museum's greatest works of the Italian Renaissance. The Metropolitan's painting is shown alongside Charity (before 1530), a closely related panel on loan from the National Gallery of Art, Washington, D.C. The exhibition allows visitors to follow the artist's approach as he moved from drawings on paper to the preparatory underdrawings on the panels, and then to the final paintings, emphasizing the crucial role of drawings and cartoons in his workshop. The exhibition will complement Andrea del Sarto: The Renaissance Workshop in Action , a more extensive survey of the artist's work on view at The Frick Collection at the same time. Andrea del Sarto (1486–1530) was one of the most influential artists active in Florence in the first decades of the sixteenth century. He painted the grand Holy Family with the Young Saint John the Baptist around 1528 for Giovanni Borgherini, who was prominent during the city's tumultuous, short-lived Republic, before the Medici family reestablished its rule. The imagery of Christ sharing the orb with his cousin Saint John the Baptist, Florence's patron saint, was symbolic for the Republican government. Recent technical examination and conservation of the painting have revealed the masterful underdrawing of the figures and the brilliant, sumptuous color that led Sarto to be known as ""the painter without defects."" The exhibition examines Sarto's decision to adapt this composition for the related panel Charity , which was likely meant as an important gift for Francis I, the French king. Featured Media ""A fascinating gem of a show…""— New York Times"
2015,Fashion and Virtue,"October 20, 2015–January 10, 2016",https://www.metmuseum.org/exhibitions/listings/2015/fashion-and-virtue,"Printed sources related to the design of textile patterns first appeared during the Renaissance. Six intricate interlaced designs, attributed to Leonardo da Vinci and later copied by Albrecht Dürer, stood at the beginning of a fruitful international exchange of pattern designs through print. From the 1520s, small booklets with textile patterns were published regularly. These pocket-sized, easy-to-use publications became an instant success and essentially formed the first fashion publications. This interdisciplinary exhibition, drawn largely from the Metropolitan Museum's own collection, combines printed pattern books, drawings, textile samples, costumes, paintings, and various other works of art to evoke the colorful world in which the Renaissance textile pattern books first emerged and functioned. Featured Media The exhibition is made possible by the Placido Arango Fund and the William Randolph Hearst Foundation. The Metropolitan's quarterly Bulletin program is supported in part by the Lila Acheson Wallace Fund for The Metropolitan Museum of Art, established by the cofounder of Reader's Digest ."
