Year,Title,Duration,URL,Description,Description_filtered
2015,Chinese Lacquer,"August 15, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/chinese-lacquer,"Lacquer, the resin of a family of trees found throughout southern China—as well as in Southeast Asia, Korea, and Japan—is an amazing material. When exposed to oxygen and humidity, lacquer hardens or polymerizes, becoming a natural plastic and an ideal protective covering for screens, trays, and other implements. Mixed with pigments, particularly cinnabar (red) and carbon (black), lacquer has been also used as an artistic media for millennia. This installation, which features all of the most important examples of Chinese lacquer in the Museum's collection, explores the laborious techniques used to create scenes based on history and literature, images of popular gods and mythical and real animals, and representations of landscapes and flowers and birds. #ChineseLacquer #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund.",lacquer resin family tree find southern amazing material expose oxygen humidity lacquer harden polymerize become natural plastic ideal protective covering screen tray other implement mix pigment cinnabar carbon black lacquer use artistic medium installation feature important example chinese lacquer collection explore laborious technique use create scene base history literature image popular god mythical real animal representation landscape flower bird exhibition make possible
2015,A Passion for Jade,"March 14, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/passion-for-jade,"Heber R. Bishop's collection of carved jades was formed in the last quarter of the nineteenth century and bequeathed to the Metropolitan Museum in 1902. Consisting of over one thousand pieces—primarily Chinese jades of the eighteenth and nineteenth centuries, as well as jades from Mughal India—it was the first major collection of its kind in the country. This exhibition features a selection of the finest examples from this renowned collection and celebrates the hundredth anniversary of the Department of Asian Art. #BishopJades #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund.",collection carved jade form last quarter nineteenth century bequeath consist piece chinese jade eighteenth nineteenth century jade first major collection kind country exhibition feature selection fine example renowned collection celebrate hundredth anniversary exhibition make possible
2015,Chinese Textiles,"August 15, 2015–June 19, 2016",https://www.metmuseum.org/exhibitions/listings/2015/chinese-textiles,"This installation, which explores the cultural importance of silk in China, showcases the most important and unusual textiles from the Museum's collection. In addition to three rare pieces dating from the Tang dynasty (618–906), when China served as a cultural hub linking Korea and Japan to Central and West Asia, and ultimately to the Mediterranean world, the exhibition also includes eleventh- and twelfth-century tapestries from Central Asia, as well as contemporaneous Chinese examples of this technique. Spectacular embroideries—including an imperial fourteenth-century canopy decorated with phoenixes and flowers, and a monumental late seventeenth- or early eighteenth-century panel showing phoenixes in a garden—are also on view, together with theatrical garments, court costumes, and early examples of badges worn at court to designate rank. #ChineseTextiles #AsianArt100 The exhibition is made possible by the Joseph Hotung Fund.",installation explore cultural importance silk showcase important unusual textile collection addition rare piece date dynasty serve cultural hub link world exhibition include twelfth century tapestry contemporaneous chinese example technique spectacular embroidery include imperial fourteenth century canopy decorate phoenix flower monumental late seventeenth- early eighteenth century panel show phoenix garden view theatrical garment court costume early example badge wear court designate rank exhibition make possible
2015,Selections from the Collection of Jefferson R. Burdick,"October 21, 2015–June 9, 2016",https://www.metmuseum.org/exhibitions/listings/2015/burdick-collection-october-rotation,"The Burdick baseball card collection constitutes an integral part of The Metropolitan Museum of Art's collection of ephemera and tells the history of popular printmaking in the United States. In 1947, after having approached A. Hyatt Mayor, the Museum's curator of prints and photographs, the Syracuse electrician Jefferson R. Burdick (1900–1963) began to donate his entire collection of approximately 30,000 baseball cards in large batches, along with another 270,000 trade and postcards, to the Museum. The baseball cards collected by Burdick date from 1887 to 1959 and represent the most comprehensive collection outside of the Baseball Hall of Fame in Cooperstown, New York. The cards on view illustrate the history of baseball from the dead-ball era at the turn of the nineteenth century through the golden age and modern era of the sport. The baseball cards document the sport through various types of media—from lithography to photography—and imagery illustrating legends as well as the lesser-known players, owners, and teams that have contributed to the history of the game.",baseball card collection constitute integral part collection ephemera tell history popular printmaking approach curator print photograph electrician begin donate entire collection baseball card large batch trade postcard baseball card collect date represent comprehensive collection card view illustrate history baseball dead ball era turn nineteenth century golden age modern era sport baseball card document sport various type medium lithography photography imagery illustrate legend know player owner team contribute history game
2015,Artistic Furniture of the Gilded Age,"December 15, 2015–June 5, 2016",https://www.metmuseum.org/exhibitions/listings/2015/artistic-furniture-of-the-gilded-age,"This exhibition reveals the most sumptuous moment in late nineteenth-century America—a period known as the Gilded Age—through the work of some of the most noted design firms at the time. The centerpiece of the three-part exhibition is the opulent Worsham-Rockefeller Dressing Room from the New York City house commissioned by art collector and philanthropist Arabella Worsham (later Huntington; ca. 1850–1924). A complete work of art, with its elaborate woodwork and decorations, it is a rare surviving commission by the New York–based cabinetmaker and interior decorator George A. Schastey (American, 1839–1894). Although little known today, Schastey operated a large and successful decorating firm in the late nineteenth century, catering to some of the nation's wealthiest individuals. Loans from public and private collections will highlight his work and important role; some of these works are newly attributed to him and have never before been on public view. The exhibition will also include furniture by some of Schastey's contemporaries. An adjoining gallery will display works by Schastey's best-known competitor, Herter Brothers, that were created for the firm's most important commission, the William H. Vanderbilt House. In total, the exhibition will include more than three dozen examples of furniture from America's Gilded Age. Visitors will gain new insights into the luxurious and artistic interiors found in New York's wealthiest households in the late nineteenth century. #GildedAgeFurniture Accompanied by a Bulletin Featured Media ""Opulent.""— Wall Street Journal Artistic Furniture of the Gilded Age: George A. Schastey is made possible by the Enterprise Holdings Endowment and The Peter Jay Sharp Foundation. Additional support is provided by Karen H. Bechtel. The Metropolitan Museum of Art Winter 2016 Bulletin is made possible by the William Cullen Bryant Fellows. The Museum's quarterly Bulletin program is supported in part by the Lila Acheson Wallace Fund for The Metropolitan Museum of Art, established by the cofounder of Reader's Digest .",exhibition reveal sumptuous moment late nineteenth century period know work noted design firm time centerpiece part exhibition opulent house commission art collector philanthropist complete work art elaborate woodwork decoration rare survive commission base cabinetmaker interior decorator little know today operate large successful decorate firm late nineteenth century cater nation wealthy individual loan public private collection highlight work important role work attribute public view exhibition include furniture contemporary adjoining gallery display work know competitor create firm important commission total exhibition include more dozen example furniture visitor gain new insight luxurious artistic interior find wealthy household late nineteenth century gildedagefurniture accompany medium make possible additional support provide make possible quarterly program support part establish cofounder
2015,Encountering Vishnu,"December 19, 2015–June 5, 2016",https://www.metmuseum.org/exhibitions/listings/2015/encountering-vishnu,"Dramas presented during religious festivals in southern India are an important aspect of popular Hindu celebration. This exhibition highlights five rare wooden sculptural masks that represent a largely unrecorded category of late medieval Indian devotional art. The masks depict the protagonists in a deadly battle between Vishnu in his man-lion avatar, Narasimha, and an evil king whose destruction was essential for the restoration of order in the universe. #VishnuAvatars #AsianArt100 Featured Media The exhibition is made possible by The Miriam and Ira D. Wallach Foundation Fund.",present religious festival southern important aspect popular hindu celebration exhibition highlight rare wooden sculptural mask represent unrecorded category late medieval indian devotional art mask depict protagonist deadly battle man lion avatar evil king destruction essential restoration order universe feature medium exhibition make possible
2015,The Luxury of Time,"November 16, 2015–March 27, 2016",https://www.metmuseum.org/exhibitions/listings/2015/luxury-of-time,"Time is all around us, displayed on our phones and computers. Today, almost nobody needs to own a watch or a clock to tell the time. Access to the right time is not the luxury it once was. Yet the fascination with clocks and watches persists, and the thriving market for mechanical timekeepers is deeply aware of their history. Clocks and watches have always been about more than just telling time: they have been treasured as objects of desire and wonder, personal items imbued with value that goes beyond pure functionality. As works of art, they represent the marriage of innovation and craftsmanship. This exhibition explores the relationship between the artistry of the exterior form of European timekeepers and the brilliantly conceived technology that they contain. Drawn from the Museum's distinguished collection of German, French, English, and Swiss horology from the sixteenth through the nineteenth century, the extraordinary objects on view show how clocks and watches were made into lavish furniture or exquisite jewelry. The creation of timekeepers required that clockmakers work with cabinetmakers, goldsmiths and silversmiths, enamelers, chasers and gilders, engravers, and even those working in sculpture and porcelain. These craftsmen were tasked with accommodating internal mechanisms by producing cases that, in both shape and function, adapted to timekeeping technologies. Their exteriors are often as complicated as the movements they house. Examining the dialogue between inside and out, adornment and ingenuity, The Luxury of Time reveals the complex evolution of European clockmaking and the central place of timekeepers in the history of decorative arts. #LuxuryofTime Featured Media Pair-Case Watch by Daniel Delander Sunday at The MetâMaking Time: Clocks and Watches The publication is made possible by Marica and Jan Vilcek.",time display phone computer today need own watch clock tell time access right time luxury fascination clock watch persist thrive market mechanical timekeeper aware history clock watch more tell time treasure object desire wonder personal item imbue value go pure functionality work art represent marriage innovation craftsmanship exhibition explore relationship artistry exterior form european timekeeper conceive technology contain draw distinguished collection swiss horology sixteenth nineteenth century extraordinary object view show clock watch make lavish furniture exquisite jewelry creation timekeeper require clockmaker work cabinetmaker goldsmith silversmith enameler chaser gilder engraver work sculpture porcelain craftsman task accommodate internal mechanism produce case shape function adapt timekeepe technology exterior complicated movement house examine dialogue adornment ingenuity reveal complex evolution european clockmaking central place timekeeper history decorative art case metâmaking time clock publication make possible
2015,Korea,"February 7, 2015–March 27, 2016",https://www.metmuseum.org/exhibitions/listings/2015/korea,"When the Department of Far Eastern Art was established at the Metropolitan in the summer of 1915, the Museum possessed only sixty-five Korean works. Some were mistakenly catalogued as Chinese or Japanese. Dubbed the ""hermit kingdom,"" Korea was then little known to the Western world. Today, its traditional arts, as well as pop music, film, and drama, are celebrated markers of global culture. The Museum's collection of Korean art, too, has been significantly transformed and continues to evolve. It now encompasses ceramics, paintings, sculpture, metalwork, lacquer ware, and textiles from the late Bronze Age to the present. Works on view include important recent gifts to the Museum from the Mary Griggs Burke Collection and Florence and Irving Collection—including a rare sixteenth-century Buddhist painting of royal commission, a striking mid-seventeenth-century gilt-wood statue of a Bodhisattva, and exquisite mother-of-pearl inlaid lacquer boxes from the Joseon dynasty (1392–1910). The stories behind the objects in this exhibition capture the individuals and trends that shaped the Met's distinctive collection, sometimes deliberately, sometimes accidentally. This presentation also reveals the modern Western imagination of Korea, and the many ways Korean art came to be viewed and appreciated in America. #MetKoreanArt #AsianArt100 The exhibition is made possible by Samsung.",establish summer possess korean work catalogue chinese dub hermit kingdom known western world today traditional art pop music film drama celebrate marker global culture collection korean art transform continue evolve encompass ceramic painting sculpture metalwork lacquer ware textile late present work view include important recent gift include rare sixteenth century buddhist painting striking mid - seventeenth century gilt wood statue exquisite mother pearl inlaid lacquer box dynasty story object exhibition capture individual trend shape distinctive collection presentation reveal modern western imagination many way korean art come view appreciate metkoreanart exhibition make possible
2015,Reconstructions,"September 21, 2015–March 14, 2016",https://www.metmuseum.org/exhibitions/listings/2015/reconstructions,"This installation, the thirteenth since the Joyce and Robert Menschel Hall for Modern Photography opened in 2007, is a snapshot—not comprehensive, but representative—of the collecting interests of the Department of Photographs through recently acquired works made by fifteen artists over the last seven years. While the title is taken from a photograph in the exhibition, the concept of reconstruction chimes with many of the works, which can be viewed, at least in part, as indirect addresses to how perception and cognition are being remapped to accommodate our newly bifurcated existences—online and ""in real life."" The notion that we swim in a sea of photographic images that shape how we see ourselves and the world felt new in 1989 and prescient in 1968, but with the rise of the Internet and social media, this condition is so obvious as to be useless. With one foot in cyberspace and the other on an unstable terrain of accelerated change, our daily life and deepest subjective recesses—our relationship to ourselves, each other, and to things—is constantly being reconstructed along digital lines, with cameras serving as almost bodily appendages to interface between these two realities. In this context, the seamless digital ""restoration"" of dazzle camouflage to a WWII battleship, the viral spread of Photoshop mishaps in an interior view, or the simple folding back of a book page can be seen as complex negotiations between the old order and the new networks that silently and invisibly are shaping individual and collective experience. #MetReconstructions",installation thirteenth open snapshot comprehensive representative collect interest acquire work make artist last year title take photograph exhibition concept reconstruction chime many work view least part indirect address perception cognition remappe accommodate bifurcated existence real life notion swim sea photographic image shape see world feel new prescient rise internet social medium condition obvious useless foot cyberspace other unstable terrain accelerated change daily life deep subjective recess relationship other thing reconstruct digital line camera serve bodily appendage interface reality context seamless digital restoration dazzle camouflage battleship viral spread mishap interior view simple folding book page see complex negotiation old order new network shape individual collective experience metreconstruction
2015,The Aftermath of Conflict,"August 24, 2015–March 6, 2016",https://www.metmuseum.org/exhibitions/listings/2015/jo-ractliffe,"Throughout her career, South African photographer Jo Ractliffe (born 1961) has directed her camera toward landscapes to address themes of displacement, conflict, history, memory, and erasure. This exhibition brings together selected works from three of her recent photographic series that focus on the aftermath of the Angolan Civil War (1975–2002) and its relationship with the Border War (1966–89) fought by South Africans in Angola and present-day Namibia. For Ractliffe and many other South African civilians, Angola during these wars was an abstract place, a ""secret, unspoken location where brothers and boyfriends were sent as part of their military service."" When seen consecutively, these three series reveal Ractliffe's deepening engagement with the region's complex histories as an attempt to ""retrieve a place for memory."" The earliest series, Terreno Ocupado (2007–8), was produced during Ractliffe's first visit to Angola's capital, Luanda, five years after the end of the Civil War. These images highlight the structural instability of the capital's shantytowns and question what it means for land to be occupied, abandoned, and struggled over. While working on As Terras do Fim do Mundo (2009–10), Ractliffe traveled alongside ex-soldiers returning to the desolate places in the Angolan countryside where they had fought. The Borderlands (2011–13) examines the impact of the wars in Angola within South Africa's borders. For this most recent project, she photographed militarized landscapes that had been occupied by the South African army, tracing histories of displacement that began during the colonial and apartheid periods and continue to unfold today. The photographs in all three series were originally produced as either gelatin silver prints or archival pigment prints on cotton paper; the inkjet prints on display here were made by the artist specially for this exhibition. This exhibition has been organized to coincide with Kongo: Power and Majesty , which focuses on works created by artists in present-day Angola between the sixteenth and nineteenth centuries. #JoRactliffe",career south african photographer bear direct camera landscape address theme displacement conflict history memory erasure exhibition bring select work recent photographic series focus aftermath relationship 1966–89 fight present day many other south african civilian war abstract place secret unspoken location brother boyfriend send part military service see series reveal deepening engagement region complex history attempt retrieve place memory early series produce first visit capital year end image highlight structural instability capital shantytown question mean land occupy abandon struggle work terra travel ex - soldier return desolate place countryside fight examine impact war border recent project photograph militarize landscape occupy south african army trace history displacement begin colonial apartheid period continue unfold today photograph series produce silver print archival pigment print cotton paper inkjet print display make artist exhibition exhibition organize coincide focus work create artist present day sixteenth nineteenth century
2015,Jacqueline de Ribes,"November 19, 2015–February 21, 2016",https://www.metmuseum.org/exhibitions/listings/2015/jacqueline-de-ribes,"This Costume Institute exhibition focuses on the internationally renowned style icon Countess Jacqueline de Ribes, whose originality and elegance established her as one of the most celebrated fashion personas of the twentieth century. The thematic show features about sixty ensembles of haute couture and ready-to-wear primarily from de Ribes's personal archive, dating from 1962 to the present. Also included are her creations for fancy-dress balls, which she often made by cutting and cannibalizing her haute couture gowns to create nuanced expressions of her aesthetic. These, along with photographs, video, and ephemera, tell the story of how her interest in fashion developed over decades, from childhood ""dress-up"" to the epitome of international style. A muse to haute couture designers, de Ribes had at her disposal their drapers, cutters, and fitters in acknowledgment of their esteem for her taste and originality. Ultimately, she used this talent and experience to create her own successful design business, which she directed from 1982 to 1995. While the exhibition focuses on her taste and style, extensive documentation from her personal archives illustrates the range of her professional life, including her roles as theatrical impresario, television producer, interior designer, and director and organizer of international charity events. #JacquelinedeRibes Featured Media The Designer at Work ""…an eye-opening, perception-changing display of jaw-dropping couture gowns.""— InStyle ""…like walking into a fairy tale…the beauty and exquisite craftsmanship…provide visitors…transportation to a fantasy realm.""— Racked ""…more than just…pretty swaths of fabrics. [Koda] infuses them with humanity, allowing the clothes to tell a story beyond structure and design.""— New York Observer",exhibition focus renowned style icon originality elegance establish celebrated fashion persona twentieth century thematic show feature ensemble haute couture ready wear personal archive date present include creation fancy dress ball make cut cannibalize haute couture gown create nuanced expression aesthetic photograph video ephemera tell story interest fashion develop decade childhood dress up epitome international style muse haute couture designer have disposal draper cutter fitter acknowledgment esteem taste originality use talent experience create own successful design business direct exhibition focus taste style extensive documentation personal archive illustrate range professional life include role theatrical impresario television producer interior designer director organizer international charity event feature medium eye opening perception change display drop couture gown like walk fairy tale beauty exquisite craftsmanship provide visitor transportation fantasy realm rack more pretty swath fabric infuse humanity allow clothe tell story structure design
